TRAAAAK128F9318786,Scream,alternative rock
TRAAAAW128F429D538,I Didn't Mean To,Bay Area
TRAAABD128F429CF47,Soul Deep,60s
TRAAADJ128F4287B47,Heartache People,rock
TRAAADZ128F9348C2E,Amor De Cabaret,latin
TRAAAED128E0783FAB,It's About Time,jazz
TRAAAEF128F4273421,Something Girls,new wave
TRAAAEM128F93347B9,Game & Watch,progressive trance
TRAAAFD128F92F423A,Face the Ashes,punk rock
TRAAAGF12903CEC202,Små ord,Ballad
TRAAAGR128F425B14B,Into The Nightlife,dance
TRAAAHD128F42635A5,I'll Be Waiting,feelings
TRAAAHZ128E0799171,The One And Only,rap
TRAAAIC128F14A5138,Slave,rock
TRAAAIR128F1480971,I Want You (Album Version),pop
TRAAAJG128F9308A25,Tungsten (only issued previously on 45),malvina reynolds
TRAAAJN128F428E437,Welcome To The Pleasuredome,80s
TRAAAJO12903CAAC69,Stranger in Paradise,easy listening
TRAAANK128F428B515,Is That All There Is?,Disco
TRAAARJ128F9320760,Pink World,Progressive rock
TRAAAUR128F428B1FA,Smash It Up,punk
TRAAAYL128F4271A5B,Indian Angel,post-rock
TRAAAYX128F4263BC0,Popular Modern Themes,sadcore
TRAAAZF12903CCCF6B,Break My Stride,80s
TRAABDL12903CAABBA,La Culpa,latin
TRAABEV12903CC53A4,Blood In Face,industrial
TRAABFH128F92C812E,Excelsior Lady,upbeat
TRAABFT128F931150E,Chasing shadows,grindcore
TRAABGU12903CC8DCF,Arms And Armour,swedish
TRAABHO12903D08576,I Know You,jazz
TRAABHP128F427AEC8,Siempre Ana,trova
TRAABIG128F9356C56,Walk the Walk,female vocalists
TRAABIX128F92D6F94,Catwalk (Black Ink mix),electronic
TRAABJS128F9325C99,Auburn and Ivory,dream pop
TRAABJV128F1460C49,Tonight Will Be Alright,slowhand
TRAABKD128F9302CE9,Laser Light,Italo Disco
TRAABLR128F423B7E3,Floating,classic rock
TRAABNV128F425CEE1,High Tide,drjazzmrfunkmusic
TRAABOG128F42955B1,One Shot (Album Version),indie
TRAABOW128F42418FB,Hoergeraete,rock
